Monthly data for lake:, eri
Subbasin:, Overbasin (lake+land)
DataType:, Precipitation
DataType:, Sum of daily precipitation values
Units:, mm
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1940,    42.220,    56.790,    61.250,    92.310,   108.640,   120.320,    49.940,   120.710,    55.690,    56.270,    80.630,    88.640
1941,    45.920,    24.070,    32.420,    42.140,    64.810,    81.460,    69.960,    72.900,    37.220,   112.480,    55.610,    43.820
1942,    43.930,    69.070,    85.980,    64.770,   113.170,    87.570,   112.390,    87.130,    94.960,    77.720,    91.800,    75.490
1943,    48.580,    41.540,    68.460,    87.810,   177.580,    83.080,   130.760,    67.730,    67.920,    62.670,    47.810,    21.440
1944,    26.620,    54.630,    83.890,   105.130,    89.220,    89.270,    41.460,    75.000,    70.330,    37.370,    56.600,    62.770
1945,    36.910,    50.050,   115.950,    82.910,   119.050,   122.360,    74.440,    58.180,   147.900,   110.870,    58.180,    52.220
1946,    30.900,    53.180,    58.300,    23.580,   126.520,   119.920,    55.810,    50.270,    41.980,    83.540,    60.050,    68.010
1947,    95.670,    24.600,    61.850,   137.240,   136.680,   121.020,    82.070,    91.410,    84.530,    42.390,    63.080,    55.470
1948,    44.410,    63.700,   111.720,    80.850,   104.260,   108.790,    69.230,    61.760,    58.690,    67.030,    99.230,    63.970
1949,    89.990,    63.990,    64.680,    61.590,    88.630,    65.590,    88.840,    83.570,    79.510,    58.590,    53.540,    83.830
1950,   160.340,   108.260,    84.630,   110.310,    43.280,    89.550,   102.940,    72.810,   100.660,    74.410,   130.550,    61.550
1951,    63.290,    74.340,    98.740,    85.790,    76.350,   104.210,    81.970,    45.150,    68.140,    72.910,    98.280,   103.990
1952,    96.640,    50.770,    78.060,    81.440,    95.970,    40.920,    68.900,    77.360,    76.690,    25.870,    64.750,    60.730
1953,    68.650,    30.170,    74.130,    70.270,   106.780,    59.920,    70.930,    66.200,    58.830,    19.180,    46.270,    59.410
1954,    64.720,    76.070,   113.610,   115.170,    36.030,    78.040,    60.080,    88.690,    51.550,   197.500,    52.480,    57.170
1955,    52.440,    56.550,    91.570,    79.820,    57.270,    51.630,    71.560,   100.880,    50.220,   131.810,    90.620,    31.870
1956,    40.910,    73.190,    92.830,    94.600,   130.230,    76.190,    96.240,   145.020,    46.320,    20.390,    56.950,    65.910
1957,    62.100,    49.420,    35.670,   136.580,    88.370,   134.530,    84.410,    56.740,   106.070,    74.990,    66.770,    91.780
1958,    43.220,    26.220,    19.910,    70.720,    54.500,   118.610,   130.050,    99.690,   101.230,    42.570,    99.020,    22.720
1959,   106.990,    79.620,    71.450,   105.440,    85.300,    55.070,    86.690,    71.460,    76.920,   125.090,    85.510,    74.810
1960,    75.980,    66.130,    34.420,    63.160,    96.390,    99.790,    76.520,    69.380,    34.740,    42.020,    49.420,    27.430
1961,    14.250,    78.430,    82.310,   152.780,    56.240,    92.980,    93.990,    98.220,    85.270,    42.820,    67.800,    49.810
1962,    70.660,    55.490,    35.560,    38.790,    53.540,    74.600,    84.540,    69.450,    91.000,    70.680,    56.870,    57.460
1963,    27.910,    21.720,    78.890,    73.110,    60.960,    50.840,    77.010,    60.510,    33.000,    13.390,    68.410,    39.210
1964,    50.230,    29.450,   110.100,   119.920,    64.380,    65.370,    70.630,   125.710,    41.360,    28.940,    34.500,    74.400
1965,   102.970,    74.400,    70.040,    65.700,    60.870,    60.450,    65.720,    99.110,    76.050,    96.510,    66.870,    72.720
1966,    40.440,    43.130,    62.990,    80.020,    60.160,    76.070,    83.660,    90.100,    67.330,    36.010,   128.790,   109.640
1967,    40.420,    45.780,    49.500,    86.280,    83.790,    97.090,    75.110,    66.730,    74.170,    85.800,    82.500,   102.110
1968,    74.790,    30.090,    53.180,    58.410,   119.550,   102.590,    81.890,    89.160,    73.300,    54.600,   104.130,    94.660
1969,    82.860,    14.750,    40.380,   114.840,   120.720,   109.950,   137.600,    32.150,    77.240,    62.390,    92.220,    56.530
1970,    36.820,    34.340,    56.690,    90.060,    84.580,    88.910,   117.830,    39.760,   107.350,    84.040,    84.210,    61.610
1971,    36.660,    79.300,    42.140,    32.670,    72.470,    74.810,    78.590,    56.160,    77.380,    49.430,    56.140,   104.020
1972,    45.710,    43.110,    85.400,    98.850,    88.710,   108.910,    78.850,    87.870,   139.440,    65.030,   104.620,    87.610
1973,    42.210,    40.010,   119.210,    70.730,   102.570,   124.280,    86.950,    59.430,    44.180,    88.230,    88.840,    88.590
1974,    74.110,    55.610,    98.170,    83.200,   112.550,    90.770,    39.260,    73.050,    68.020,    33.080,   108.410,    79.980
1975,    78.770,    74.120,    68.120,    52.990,    73.250,   112.090,    67.190,   180.480,    87.330,    47.020,    63.130,    95.190
1976,    76.460,    82.580,   112.200,    65.390,    78.280,    92.840,   100.280,    58.810,   101.100,    71.550,    29.120,    36.520
1977,    38.350,    44.590,   100.630,   110.460,    42.060,    93.360,   113.800,   142.540,   161.540,    53.700,    86.000,   112.020
1978,    93.790,    14.330,    62.030,    84.190,    81.720,    74.830,    49.710,    72.910,    81.900,    83.050,    53.900,    77.170
1979,    76.840,    37.450,    64.810,   109.270,    93.710,    73.980,    78.860,   118.980,    76.460,    74.830,   110.510,    86.470
1980,    31.370,    31.430,   100.840,    83.810,    69.860,   109.950,   124.370,   124.490,    88.340,    72.870,    38.810,    58.500
1981,    22.010,    81.740,    28.740,   116.760,    76.050,   151.200,    98.660,    88.380,   142.950,    92.530,    46.670,    69.470
1982,    86.660,    44.170,    89.530,    50.920,    90.120,   111.660,    68.430,    61.650,    87.080,    36.360,   157.660,    93.610
1983,    29.080,    26.940,    63.410,   101.750,   117.400,    85.750,   101.210,    77.610,    75.120,    99.550,   124.800,   103.220
1984,    32.720,    59.520,    72.700,    87.660,   127.060,    74.730,    68.350,    83.400,    97.100,    49.640,    80.110,    87.330
1985,    56.950,    82.730,   116.790,    44.210,    80.620,    75.470,    90.320,   115.310,    59.130,    95.940,   191.300,    61.440
1986,    35.320,    70.670,    58.060,    75.630,    92.410,   136.090,   108.740,    89.320,   142.490,   103.900,    61.270,    73.140
1987,    51.870,    10.720,    63.810,    55.320,    60.460,   120.850,    89.970,   141.380,    72.280,    74.870,    67.240,    83.770
1988,    32.360,    60.010,    47.400,    60.760,    38.680,    18.920,    98.830,    89.230,    72.030,   106.670,    99.700,    60.330
1989,    47.850,    32.410,    63.190,    72.150,   142.880,   122.000,    79.610,    58.140,    90.910,    66.610,    82.890,    46.560
1990,    55.420,   118.600,    43.970,    74.140,   128.080,    84.080,   103.640,   114.860,   124.960,   105.500,    68.590,   160.410
1991,    50.210,    36.390,    71.430,   100.070,    83.830,    32.780,    72.970,    84.720,    50.530,   105.830,    66.430,    52.450
1992,    53.860,    45.170,    67.940,    96.930,    62.050,    61.520,   187.990,   113.440,   134.620,    67.940,   138.380,    70.770
1993,    98.150,    43.960,    71.930,    89.160,    44.450,   122.470,    71.990,    47.390,   114.150,    71.570,    89.840,    48.540
1994,    73.150,    33.110,    53.640,   106.930,    52.470,   119.250,    74.970,   108.120,    51.890,    40.130,    79.120,    66.290
1995,    96.690,    30.490,    46.370,    95.800,    92.660,    71.980,    82.110,    89.300,    35.440,   120.510,   100.710,    41.260
1996,    71.760,    44.130,    55.740,   127.830,   102.710,   126.370,    97.300,    37.890,   168.000,    80.070,    81.230,    89.560
1997,    61.760,    89.780,    95.780,    45.070,   137.590,   111.160,    80.930,   105.840,    89.990,    52.670,    62.120,    58.540
1998,    95.630,    53.770,    92.890,   107.300,    49.320,    91.120,    88.670,   115.770,    36.990,    49.440,    42.310,    42.070
1999,   104.270,    48.240,    42.260,   106.790,    61.150,    71.350,    80.100,    67.430,    74.050,    63.300,    68.190,    65.590
2000,    47.830,    46.510,    45.990,    93.530,   127.690,   156.470,   102.150,   101.730,   100.730,    62.070,    60.090,    82.000
2001,    31.390,    59.690,    38.590,    74.440,   105.260,    70.500,    44.930,    78.640,    94.900,   143.830,    66.540,    68.770
2002,    62.080,    56.690,    74.900,   106.460,   115.800,    56.790,    73.110,    45.580,    85.080,    52.770,    79.590,    64.170
2003,    38.500,    51.790,    57.970,    65.310,   141.360,    79.710,   131.860,    87.120,   140.070,    73.320,    87.970,    74.410
2004,    65.550,    19.210,    86.050,    58.840,   172.150,    93.600,   117.950,    86.270,    58.900,    64.470,    87.900,    91.790
2005,   124.190,    61.530,    35.680,   101.910,    43.470,    54.880,   117.430,    92.740,   104.130,    46.590,   100.480,    59.710
2006,    75.460,    60.420,    59.040,    67.150,   116.120,    93.750,   147.950,    79.810,   110.590,   138.830,    66.610,    98.750
2007,   121.630,    39.300,    74.280,    84.220,    45.250,    51.740,    74.020,   169.630,    60.310,    66.380,    90.460,   110.500
2008,    74.020,   126.360,   112.900,    58.510,    89.920,   129.360,   105.760,    57.340,   107.580,    69.580,    93.320,   125.080
2009,    62.450,    69.570,   104.090,   106.840,    74.880,    99.630,    83.630,    96.060,    57.560,   104.700,    35.150,    79.000
2010,    45.520,    51.480,    53.420,    73.080,   124.180,   131.890,   100.840,    53.570,    71.370,    70.320,    98.270,    48.710
2011,    50.920,   101.910,   101.290,   160.460,   178.700,    67.210,    90.970,   119.100,   151.610,   116.540,   136.220,   100.570
2012,    82.010,    46.330,    73.670,    39.950,    59.410,    56.450,    76.770,    90.830,   109.650,   146.980,    26.230,    86.660
2013,    81.380,    65.900,    39.060,   121.930,    67.600,   147.770,   150.060,    69.650,    74.160,   116.200,    70.960,    91.200
2014,    66.210,    70.130,    42.960,   103.800,    98.220,   114.960,   104.860,    80.090,   112.110,    77.850,    65.430,    45.260
2015,    63.970,    48.720,    39.100,    75.530,   102.010,   199.680,    93.930,    76.170,    73.040,    75.620,    53.240,    83.930
2016,    47.220,    67.590,   110.050,    75.770,    62.740,    60.440,    72.790,   105.820,   103.110,    90.350,    52.600,    75.030
2017,   103.140,    56.770,    93.200,   111.780,   148.980,    90.320,   105.580,    66.290,    43.320,    93.760,   132.420,    52.120
2018,    59.380,    96.670,    77.830,    94.500,   108.920,   106.570,    69.810,   116.130,    89.930,   105.010,   114.970,    58.820
2019,    85.030,    67.580,    76.160,   119.380,   116.610,   130.940,   108.200,    99.350,    72.570,   108.370,    58.060,    70.240
2020,    88.950,    54.600,   101.130,    70.610,   100.070,    62.780,    75.350,    88.210,    76.710,   109.200,    66.490,    53.250
2021,    23.580,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA
